post_title,post_url,likes,post_year,post_month,comment_body,comment_likes,comment_year,comment_month,source,place,review_count,helpful_votes,date_exp,month_exp,year_exp
Lonnie review,https://www.sitejabber.com/reviews/costco.com#2029,0,2023,April,Went to Kyle texas grand opening yesterday they wouldn't let us in unless we paid 60.00 for membership that's bull never even looked around would like to before I buy membership bad customer service we'll still go to sams club pitty,"Date of experience: April 2, 2023",2023.0,April,sitejabber,Texas,3,0,2023-04-02,April,2023.0
What happened to loyalty and good customer service,https://www.sitejabber.com/reviews/costco.com#1278,0,2020,May,"Wow! As a loyal faithful member for 15 years I just got the HUGE slap in my face. I went to the Costco Manassas VA and was checking out at register #7 at about 2:30 pm today 5/17/2020 and was notified that my membership expired. I asked if I could renew on my next visit and was rudely denied this opportunity. She said renewal must be made immediately or no purchases would be allowed. No warm fuzzy at all. I was shocked and did not have enough money to cover it all. After the shock wore off I gathered myself and drove 7 miles down the road and took advantage of BJ's impressive new membership offer. $25 is all it took for me to feel loved again. So long Costco. I won't be back.
*******@Gmail.com","Date of experience: May 17, 2020",2020.0,May,sitejabber,Virginia,1,5,2020-05-17,May,2020.0
Poor Quality Dining Sets and Customer Service is the worst.,https://www.sitejabber.com/reviews/costco.com#1053,0,2018,May,Ordered a Dining Room set in February which took 4-6 weeks to get but the problem started when we received it damaged. Three out of the four chairs were not level and when looking close the corners on some were left unstained. The table had a dent on the top that looked like someone jabbed it with a screwdriver so I am thinking where is the quality control? Started claim on March 22nd and was not picked up and credited back until May 3rd. This is after maybe 20 calls with shipping four different shipping companies and Costco. Nobody would ever follow up on the shipping companies as they didn't offer the services we needed until we had them check with the company that delivered it. Who would have ever thought of doing that? Polite on phone but did nothing to solve the issue.,"Date of experience: May 18, 2018",2018.0,May,sitejabber,South Dakota,1,2,2018-05-18,May,2018.0
I have been a member sinc 1990 - 31 years,https://www.sitejabber.com/reviews/costco.com#1408,0,2021,July,"Costco online sucks. I have been waiting to get my Washer and Dryer since April, it is July 26th. Had three confirmed delivery days each time received a text or email, after I waited for them, telling me that they are not able to deliver them. Spent literally tens of hours on the phone to talk to nice but lying ""service people"". Already went 6 times to my Costco store to asked for help - Nothing! Over the last 31 year I know I spent close to half a million $ at Costco. I will not renew my membership no more. They will not get another $ from me if this is how they treat a long term costumer. I hope many other people will do the same.","Date of experience: July 26, 2021",2021.0,July,sitejabber,Utah,1,1,2021-07-26,July,2021.0
I ordered Gift basket for client gifts for Christmas,https://www.sitejabber.com/reviews/costco.com#39,0,2013,December,,"Date of experience: December 30, 2013",2013.0,December,sitejabber,Texas,1,2,2013-12-30,December,2013.0
Delivery missing,https://www.sitejabber.com/reviews/costco.com#2146,0,2023,July,"First delivered wrong one for me.
You guys said after wrong one return, then different refrigerator (I selected) will be delivery for me free charge.
Whatever you guys still not delivered, also charged again for new refrigerator.
You guys made cheating on me?
I'm waiting for answers.
Today I prepared for delivery, all of foods moved out. Now my foods are not available for eating.
I'm so mad now.
I loved Costco shopping.
But
Costco only made lied to me.","Date of experience: July 1, 2023",2023.0,July,sitejabber,Virginia,1,1,2023-07-01,July,2023.0
Costco Ruined My Shopping Experience,https://www.sitejabber.com/reviews/costco.com#963,0,2017,August,Received the $1500 laptop I ordered today in an unsealed box with very little packaging material. The box containing the laptop appeared to have been previously opened and taped over. It looks like they sent me a unit thatvwas returned or on display in store. Imwas so disgusted that I didn't even open the box. I have purchased $15 items from Amazon that are superbly packaged. That's where I will be conducting all of my online from this day forward.,"Date of experience: August 31, 2017",2017.0,August,sitejabber,Arizona,1,1,2017-08-31,August,2017.0
Costco ends our membership,https://www.sitejabber.com/reviews/costco.com#1552,0,2022,February,"I was a full fan of Costco for 10+ years. Great food, Customer friendly aisles, Quick checkouts, not to mention all the other benifits. We refinanced our home through Costco's Banking outreach. Then we received a letter stating, All law abiding, armed citizens are no longer welcome in their store. They stated they would gladly refund our membership. Let it be known, Costco's are now Gun Free Zones. They post no proper signs, they just ask. I support our entire Constitution, not just the parts I like.","Date of experience: February 20, 2022",2022.0,February,sitejabber,Minnesota,1,0,2022-02-20,February,2022.0
AVOID ONLINE ORDERS AT ALL COSTS,https://www.sitejabber.com/reviews/costco.com#994,0,2017,December,"I ordered a Nikon camera prior to Thanksgiving and it has still not arrived. Try to get information? Not a chance. 71 minute wait on the phone. Even then, no dice. The only thing that has happened quickly is the charge on my VISA. THAT has been in place for more than two weeks. Inexcusable service for a company that prides itself in service - and one that I have been a member of for more than a decade.","Date of experience: December 6, 2017",2017.0,December,sitejabber,Louisiana,1,3,2017-12-06,December,2017.0
Bad Service,https://www.sitejabber.com/reviews/costco.com#1050,0,2018,May,,"Date of experience: May 8, 2018",2018.0,May,sitejabber,Massachusetts,1,4,2018-05-08,May,2018.0
Tire center,https://www.sitejabber.com/reviews/costco.com#1921,0,2023,January,I took my car to get its normal tire service at the Spartanburg tire center and they stripped a few of my tire studs and lug nuts. I had to take it to get it repaired and Costco won't reimburse me my money. That's crazy! They mess up your car and then say it's normal wear and tear. My mechanic said otherwise.,"Date of experience: January 3, 2023",2023.0,January,sitejabber,North Carolina,1,0,2023-01-03,January,2023.0
Love Costco,https://www.sitejabber.com/reviews/costco.com#506,0,2016,March,,"Date of experience: March 18, 2016",2016.0,March,sitejabber,Colorado,5,7,2016-03-18,March,2016.0
"Best return policy on electronicsw, bar none!",https://www.sitejabber.com/reviews/costco.com#367,0,2015,December,,"Date of experience: December 15, 2015",2015.0,December,sitejabber,Florida,9,24,2015-12-15,December,2015.0
Excellent Customer Service,https://www.sitejabber.com/reviews/costco.com#1140,0,2018,November,"I ordered a 6 foot long folding table to add to our 6 foot long dining room table to accomodate the 15 people I invited for thanksgiving. The table was delivered by UPS with a small nick on one of the ends. I did not want to hassle with sending it back (it weights 65 pounds) as the box was ripped and torn and i was concerned about getting a replacement by Thanksgiving. I called customer service, explained the issue and asked for a rebate. The table cost $70 plus tax, they gave me $25. Needless to say I was pleased. If I had seen this table for sale in the store, with the same nick on sale for $50 I would have snapped it up. Yep, good customer service, saved me hassle and stress, saved them postage","Date of experience: November 9, 2018",2018.0,November,sitejabber,Washington,1,0,2018-11-09,November,2018.0
"For a family, this is one stop shop.",https://www.sitejabber.com/reviews/costco.com#890,0,2017,February,,"Date of experience: February 14, 2017",2017.0,February,sitejabber,California,5,1,2017-02-14,February,2017.0
Don't deliver and won't refund money,https://www.sitejabber.com/reviews/costco.com#1540,0,2022,February,"I ordered an item from Costco online with expected delivery date of 5 days hence. I am still waiting 5 weeks later. They won't refund my money until the item returns to their warehouse. DON'T RISK IT.
I buy lots online and the usual occurrence when an item is lost or delayed is that the supplier resends another and has the initial item returned to their warehouse. Not Costco. Wait and wait and wait and they won't refund. I might not get it for another 3 months or ever!","Date of experience: February 13, 2022",2022.0,February,sitejabber,Australia,1,0,2022-02-13,February,2022.0
Don't Order Appliances from Costco,https://www.sitejabber.com/reviews/costco.com#2358,0,2023,October,"I've ordered items from Costco online previously- mattress toppers, a mattress, etc. For that experience, I would rate them a 5. BUT, recently we ordered a microwave/stove combo- that experience would be a solid 1 star. They use a delivery company called Transmotion. Transition, by the way, is rated an F through the BBB. They have no showed twice for appointments and don't answer their phone. While I realize that Costco is not responsible specifically for Transmotion and their lack of business ethics; Costco is the one that chooses to use Transmotion for delivery. I'd be willing to bet cost is a huge factor. Well, you get what you pay for. I, for one, will never, ever, ever order a single appliance from Costco due to this terrible experience. Buyer beware!","Date of experience: October 6, 2023",2023.0,October,sitejabber,Illinois,1,0,2023-10-06,October,2023.0
Do Not Order Online,https://www.sitejabber.com/reviews/costco.com#1735,0,2022,August,"We ordered a refrigerator online and they gave us a specific day for delivery. There was zero communication with what time it was going to show up. After taking time off of work, we called their delivery department to find out what time it was going to show up that day. They said that the delivery was cancelled and we would need to reschedule when they have the item in the warehouse. It was a good thing I called or else we would have never known. I'm still not sure if I will get any communication on when it will be in for delivery and I will probably buy from somewhere else. Very disappointed!","Date of experience: August 24, 2022",2022.0,August,sitejabber,Washington,1,0,2022-08-24,August,2022.0
Costco warehouse excellent Costco.com terrible,https://www.sitejabber.com/reviews/costco.com#2394,0,2023,November,"Been a member sober 25 years I rate the warehouses 10 always the best!
Worst experience every time with Costco.com
Could
Not checkout with their system problems
Tried to call and do it manual we were on the phone nice lady but new every minute on hold
With supervisor asked to speak with the supervisor supervisor said no work with her or nothing waited for a
Manager total call was 1 hour and 43 minutes disconnected me and never called back
Ruby agent supervisor Craig
Terrible I went to Amazon $4 cheaper and delivered faster LG 65!inch tv
Oh well","Date of experience: November 28, 2023",2023.0,November,sitejabber,Georgia,1,0,2023-11-28,November,2023.0
Costco Tires,https://www.sitejabber.com/reviews/costco.com#1043,0,2018,April,"A week ago I went to Costco Tire Center in Norfolk VA to have the tires that I had purchased from them put on my late husband's '93 garage-kept Miata. When they completed the job I noticed a huge hole in the driver's side upholstery. The manager came out and took a picture of the hole (as did I) and I filled out an incident report. 3 days later I was contacted by a ""customer service"" representative. After some discussion she informed me that they were not responsible for the ""wear and tear on a 25 year old car."" I responded that it was a 25 year old car with NO hole in the upholstery. Her response was tantamount to ""too bad."" If you use these people, take a picture of your seats before you hand your car over. NEVER AGAIN FOR ME.",,,,sitejabber,Virginia,1,2,,,
Review of Concierge Anthony B-5512971,https://www.sitejabber.com/reviews/costco.com#2280,0,2023,September,"Anthony was beyond wonderful! He was helping me schedule a repair for my Samsung refrigerator purchased through Costco. He was so attentive and made sure to check in with me to keep me updated! We were joking and laughing and he made the wait fly by! It is REALLY important to me that this ""Superman of Service"" be recognized for a job well done! I was so pleased with my exoerience!","Date of experience: August 30, 2023",2023.0,August,sitejabber,Tennessee,1,0,2023-08-30,August,2023.0
Conscious Company provides excellent products and customer service.,https://www.sitejabber.com/reviews/costco.com#755,0,2016,September,,"Date of experience: September 1, 2016",2016.0,September,sitejabber,Maryland,3,0,2016-09-01,September,2016.0
Damage done by drivers,https://www.sitejabber.com/reviews/costco.com#2056,0,2023,April,"I had a neighbor who received a fridge and the delivery guys decided to run past their truck to my car. They jumped up on top of the car and damaged the hood, broke my windshield and completely crushed my roof. Both guys jumped on top of the car and I have video of this and they refused to pay. Be very careful doing business with them if at all. I wouldn't ever buy anything from them again. This needs to be stopped. Allowing big companies like this to get away with this.",+3,,,sitejabber,Washington,1,0,,,
Check the bottles carefully,https://www.sitejabber.com/reviews/costco.com#1252,0,2020,January,"I am a fan of Costco. Last Saturday I bought a bottle of CoQ10 and today I found it was already opened, and only half softgels left. Someone stole the softgels! I buy fish oil and vitamins at Costco for years, never have such thing happen before. I don't think it's Costco's fault and in fact the customer service agree me to return. But it's still scaring to think about someone can open the bottles on the shelf, steal or change the medicine inside. I hope Costco can install more monitors in drug area! And I write this review here hope everyone check the bottles carefully when you buy them.","Date of experience: January 13, 2020",2020.0,January,sitejabber,Pennsylvania,2,1,2020-01-13,January,2020.0
Bad experience,https://www.sitejabber.com/reviews/costco.com#1068,0,2018,June,,"Date of experience: June 19, 2018",2018.0,June,sitejabber,Oregon,1,1,2018-06-19,June,2018.0
Love to shop at costco,https://www.sitejabber.com/reviews/costco.com#114,0,2015,March,,"Date of experience: March 4, 2015",2015.0,March,sitejabber,New York,55,175,2015-03-04,March,2015.0
This is the worst company ever,https://www.sitejabber.com/reviews/costco.com#1035,0,2018,April,,"Date of experience: April 2, 2018",2018.0,April,sitejabber,Florida,1,1,2018-04-02,April,2018.0
I go there every Friday,https://www.sitejabber.com/reviews/costco.com#923,0,2017,March,,"Date of experience: March 22, 2017",2017.0,March,sitejabber,Arizona,6,0,2017-03-22,March,2017.0
"Costco is a great company but their home delivery company, Innovel is horrible.",https://www.sitejabber.com/reviews/costco.com#926,0,2017,March,"I recently purchased a refrigerator from Costco.com and had it delivered to my home last week. I have been a loyal Costco customer for decades and enjoy shopping at their store frequently because of the outstanding ""Customer Service"". Truly a great company. That being said I must say I have had one of the ""WORST"" experiences ever when dealing with Innovel, the logistics company that is contracted to deliver products purchased over Costco.com.
My advise, when placing an order with Costco.com is to request any shipping company other than Innovel to manage the delivery. Innovel overbooks their drivers schedules causing late delivery times, they struggle to confirm appointments, but most of all some of their drivers have absolutely horrible customer service skills and should really be fired from the company.","Date of experience: March 31, 2017",2017.0,March,sitejabber,New York,2,13,2017-03-31,March,2017.0
Disappointed customer,https://www.sitejabber.com/reviews/costco.com#1358,0,2021,January,,"Date of experience: January 20, 2021",2021.0,January,sitejabber,Oklahoma,1,7,2021-01-20,January,2021.0
I will never shop at Costco again,https://www.sitejabber.com/reviews/costco.com#956,0,2017,August,"I have been a Costco member and going since it was Price Club, so many years to say the least. Today I had a full carts worth of stuff at my local Costco in Alexandria VA. At the register I was told my card had expired today. Since it is a business card the company takes care of paying the membership for many employees. There must have been an oversight with the accounting department and told the manager I would rectify it Monday morning. He said it had to be taken care of right now or I could not purchase any products. Since I am not the owner, I was not prepared to absorb this cost. Manager told me then you cannot purchase these items so I told him I will never purchase any items from Costco again nor my company and I went to Walmart and spend $300 that I would have spent at Costco","Date of experience: August 4, 2017",2017.0,August,sitejabber,Virginia,1,0,2017-08-04,August,2017.0
Verizon concession in Costco,https://www.sitejabber.com/reviews/costco.com#88,0,2015,February,"We went in to shop for food and I encountered the Verizon concession were we stopped and talked with a representative named DALIA. She told us that by upgrading with them not only would my wife and I receive a new Samsung Galaxy S5 plus a charger, earplugs, car charger, and a electric plug for the house and of all things we would receive $600.00 ($300 each person) from Costco in a gift card and Verizon would send us a $200.00 check. This is all promotional. We walked away with 2 new phones and all the above and Dalia showed me how to transfer my apps from the old to the new phone and it all worked out with no problems. It was worth taking the time to find out about all this. We then went on to go shopping for our foods. What a day. Costco on Route 9, you will find Dalia. She was so nice and I told her that I would tell everyone about her and how she made everything work for us. Go see Dalia at Costco on Route 9, New Jersey, tell her Stuart sent ya. Good Luck, I know you will be happy.","Date of experience: February 6, 2015",2015.0,February,sitejabber,New York,66,235,2015-02-06,February,2015.0
Cashier RUDE,https://www.sitejabber.com/reviews/costco.com#1080,0,2018,July,,"Date of experience: July 10, 2018",2018.0,July,sitejabber,Missouri,1,1,2018-07-10,July,2018.0
Disappointment with two different web orders in 2012,https://www.sitejabber.com/reviews/costco.com#33,0,2013,March,"Disappointment with two different web orders in 2012. Basically the online product description were incorrect and misleading. In trying to help Costco i took the time to write reviews but costco never posted them even though the review met with their costco usage policy. Also writing to their customer service was useless, they never responded.
Also read many users complaining about costco been biased and cherry picking the reviews on their web site (so don't purchase based solely on the costco reviews!). Coincidentally found two different set of reviews for the exact same product. Basically I can only guest that when a product doesn't sell, costco changes the product number and clear all previous review! I saw it first hand with the Paderno 12 pcs Copperline cookware.","Date of experience: March 3, 2013",2013.0,March,sitejabber,Canada,1,3,2013-03-03,March,2013.0
Do not shopping online,https://www.sitejabber.com/reviews/costco.com#951,0,2017,July,"Customer service is awful. I bought an air conditioner from Costco.ca online. After 2 weeks when I didn't receive my order, I sent an email to them and I asked to refund my amount, they accepted. But after 16 days from that time they didn't refund my amount yet while they told me it takes 7 to 10 days so I sent another email to them but nobody don't answer me. Online Shopping from Costco is the worst experience for me. If your time and money is important to you, do not shopping online from Costco.","Date of experience: July 18, 2017",2017.0,July,sitejabber,Canada,1,6,2017-07-18,July,2017.0
Ring sizing,https://www.sitejabber.com/reviews/costco.com#1459,0,2021,December,"We wanted to purchase a ring at Costco, but were concerned because Costco does not size rings. Instead Costco has a provider in the community, Jewels by George that will size rings. We purchased the ring and went to George. George was wonderful and his work was flawless. George also offers a 10% discount. Recommend both the jewelry and George.","Date of experience: December 25, 2021",2021.0,December,sitejabber,California,1,0,2021-12-25,December,2021.0
Can't Decide,https://www.sitejabber.com/reviews/costco.com#560,0,2016,April,,"Date of experience: April 8, 2016",2016.0,April,sitejabber,Illinois,12,27,2016-04-08,April,2016.0
Hate them bad management,https://www.sitejabber.com/reviews/costco.com#1325,0,2020,September,,"Date of experience: September 27, 2020",2020.0,September,sitejabber,Florida,1,0,2020-09-27,September,2020.0
They are turning the movie idiocracy into a documentary,https://www.sitejabber.com/reviews/costco.com#1295,0,2020,June,I tried to go shopping there but they made me put a silly looking placebo on my face so I don't upset the old folks who are scared of germs. News flash old people you need them! Then they made me wait in a line like I was a $#*! with nothing better to do. Then I get in there and they don't even have any of the things I needed so I embarrassed And degraded myself for nothing. They made me feel like an idiot treated me like their $#*! like I was a disease and then had nothing I needed. They have lost their minds and lost my business.,"Date of experience: June 29, 2020",2020.0,June,sitejabber,Utah,1,0,2020-06-29,June,2020.0
Worst custumer service EVER!,https://www.sitejabber.com/reviews/costco.com#1103,0,2018,August,,"Date of experience: August 3, 2018",2018.0,August,sitejabber,Oklahoma,1,4,2018-08-03,August,2018.0
About Costco,https://www.sitejabber.com/reviews/costco.com#353,0,2015,December,"I mostly like Costco. I like their tasting service because I can try before I buy... and discover new things (frozen food, sauces, snacks). I almost always buy things I taste there. I buy all my paper goods and gasoline there. I have bought major electronics there. I would like them to keep Guinness in stock. I'm glad Fiber Bars are back in bulk. I sometimes get vitamins. I don't buy clothing, except slippers. There is no where to try things on and no mirrors. I would buy fresh food and other items if in smaller packages. Sometimes I split with a friend.","Date of experience: November 30, 2015",2015.0,November,sitejabber,Oregon,5,2,2015-11-30,November,2015.0
Beware Costco False Delivery Dates,https://www.sitejabber.com/reviews/costco.com#2236,0,2023,August,"I ordered a very expensive range from Costco. Almost $4k with taxes. It was supposed to be delivered Aug 2.
Costco cancelled delivery with no explanation or new date. This morning, I got a text message from Costco saying the delivery was coming TODAY at 2:00. We scrambled to get the old appliance disconnected, per Costco instructions. The new appliance never arrived. I called customer service and was told that the earliest the appliance can arrive is Aug 14. The CSR said she didn't know why I received the text and had no authority to help me other than to apologize and schedule the delivery. This certainly wasn't the fault of some poor call center worker. But to Costco logistics, I say, ""you suck; do better!"" This is my first and last major purchase from Costco.","Date of experience: August 8, 2023",2023.0,August,sitejabber,New Jersey,3,22,2023-08-08,August,2023.0
"Floral order never delivered, customer service lacking",https://www.sitejabber.com/reviews/costco.com#1014,0,2018,January,"I ordered a floral piece for a sick friend who lives in another state. It was supposed to be sent ""next day"". After waiting 6 days, I contacted Costco.com by phone. The wait time was 80 minutes. Then I tried the live chat option. I ""only"" waited about 15 minutes for an agent. Found out that the vendor hadn't even scheduled shipment for my order. The agent said he'd have someone call me or email me about the problem. I told him to just cancel the order as I wasn't going to wait another 6 days for a response. My friend is very sick, after all, and I just wanted to cheer her up. The agent then became somewhat rude, never apologized for Costco and the vendor's lack of service. I will never order from Costco.com again.","Date of experience: January 29, 2018",2018.0,January,sitejabber,California,1,0,2018-01-29,January,2018.0
Non Member gets harassed,https://www.sitejabber.com/reviews/costco.com#999,0,2017,December,,"Date of experience: December 12, 2017",2017.0,December,sitejabber,Canada,1,3,2017-12-12,December,2017.0
The best,https://www.sitejabber.com/reviews/costco.com#841,0,2016,December,,"Date of experience: December 22, 2016",2016.0,December,sitejabber,Georgia,11,21,2016-12-22,December,2016.0
"Wow, just wow!",https://www.sitejabber.com/reviews/costco.com#400,0,2016,January,,"Date of experience: January 5, 2016",2016.0,January,sitejabber,Florida,6,12,2016-01-05,January,2016.0
Shelf checkout,https://www.sitejabber.com/reviews/costco.com#2161,0,2023,July,"Today at clareview costco, early in the morning right after 9. Shelf check out not too busy, and only 2 tills open. So i decided to check myself out, i was sent back to the long line because i had more than 15 items. Its the rule i was told. No signs anywhere. Since a few shelf check outs are free why cant ppl use them. The line was really long past the clothing sectiom. C'omon costco u got to do better than this.","Date of experience: July 9, 2023",2023.0,July,sitejabber,Canada,1,2,2023-07-09,July,2023.0
I love Costco,https://www.sitejabber.com/reviews/costco.com#80,0,2015,February,,"Date of experience: February 2, 2015",2015.0,February,sitejabber,Montana,10,10,2015-02-02,February,2015.0
I have never had a more terrible experience on such a big purchase,https://www.sitejabber.com/reviews/costco.com#1348,0,2020,December,"I just spent $6k on all new appliances from Costco and still do not have my washer and dryer installed 2.5weeks after it was delivered. My dishwasher came dented, still not fixed. Between sitting on hold trying to reach someone to get this resolved and waiting around 4 times for someone to show up at my scheduled time for my installation, I have spent a total of 45 HOURS(and this is not an exaggeration) taking time off from work, etc to get installed what I was told was supposed to be installed the same day or day after. Although I was kind, I must say I am absolutely appalled at the lack of knowledge and customer service with everyone I have dealt with on their team. I can understand if you don't know or have the answers but... find it, go out of your way for someone who is contributing to your salary being paid. I mean it is very disheartening. I give Costco a lot of business for household and business needs, this is really having me reconsider.","Date of experience: December 15, 2020",2020.0,December,sitejabber,Ohio,1,0,2020-12-15,December,2020.0
Thank you,https://www.sitejabber.com/reviews/costco.com#2259,0,2023,August,"I just wanted to say a big thank you for the guy who cleaned up my sons mess today. He had a temper tantrum and he came right over and cleaned up my sons mess. I was going to pick up but didn't have a free hand at that second, thank you so much.","Date of experience: August 20, 2023",2023.0,August,sitejabber,Pennsylvania,1,0,2023-08-20,August,2023.0
Why have a phone number if administrative office doesn't answer in La Quinta California,https://www.sitejabber.com/reviews/costco.com#1564,0,2022,February,"I called administrative office in La Quinta California 11 times, transferred my call 1 time, no answer. Called back 10 times, no answer. Why have a phone in La Quinta California? When I'm there, lines are long, 2-3 people standing telling you to go to line #, why aren't they opening up registers to check people out?","Date of experience: February 28, 2022",2022.0,February,sitejabber,California,1,0,2022-02-28,February,2022.0
Can't do anything about parking except making the store experience memorable,https://www.sitejabber.com/reviews/costco.com#931,0,2017,April,"I like Outrageous deals, manly deals, as I walk into the store. You should have Vuarnet sunglasses right there. Best lense guaranteed in the mountains. Meat deals are good. Personally, I think any electronic computer, headphones. IPad, phone, is a gimmick or clearance item, along with your equivalent of as seen on TV items. When I think of the things, I feel I don't need Costco as much as Costco needs me. OMG, I haven't been there in over 3 months.","Date of experience: April 7, 2017",2017.0,April,sitejabber,California,4,6,2017-04-07,April,2017.0
Re: Never again!,https://www.sitejabber.com/reviews/costco.com#2391,0,2023,November,"Ordered goat canceled goat.
Spoke to Costco. Com several times because Ups via my account started order to be delivered.
Costco. Com yesterday November 21st Tuesday said disregard your order has been canceled.
Plus it states signature needed UPS left package.
I've been on the phone with Christoferfor 32 minutes please hold on I finally said your package is outside and I suggest Costco. Com retrieve it.
Thanks Costco. Com you have saved me more $$$ than I need to spend.
Will never recommend or order from you again.","Date of experience: November 22, 2023",2023.0,November,sitejabber,Michigan,1,1,2023-11-22,November,2023.0
To expensive for my pocketbook,https://www.sitejabber.com/reviews/costco.com#1200,0,2019,June,,"Date of experience: June 25, 2019",2019.0,June,sitejabber,Utah,69,100,2019-06-25,June,2019.0
Awful customer service,https://www.sitejabber.com/reviews/costco.com#1430,0,2021,October,"Employees are rude. And manager don't do anything at Costco Glenn Allen, VA. I was yelled by an African American lady for not putting the bar on the band, its ridiculous, I remained quiet I'm not rude, but I'm paying a membership to be treated like that, no way.","Date of experience: October 18, 2021",2021.0,October,sitejabber,Maryland,1,1,2021-10-18,October,2021.0
"Costco Nature's Domain Puppy Food is great, shipping sucks.",https://www.sitejabber.com/reviews/costco.com#1048,0,2018,May,"Since the nearest Costco store is 45 minutes away, I decided to try ordering online. Big mistake. I ordered 3 bags. Costco plastic wrapped each bag and shipped UPS them separately (Three tracking numbers). One bag arrived more or less ok. One bag arrived 1/2 full. One bag went missing alltogether to the point that UPS declared it too damaged to deliver. No response from Costco. So out of 3 bags, 2/3 of them were severly damaged in shipping. Great puppy food. Costco packaging and shipping sucks.","Date of experience: May 2, 2018",2018.0,May,sitejabber,Texas,2,1,2018-05-02,May,2018.0
Awful tire center experience,https://www.sitejabber.com/reviews/costco.com#1834,0,2022,November,"I bought tires with a 50k mile warranty. One ended up leaking after about 10k got it replaced but they threw away the spare I had (with out telling me). Now I'm stuck with a flat tire and no spare. (Ironically it's the same tire they ""Fixed"") never again costco. Do your self a favor and buy your tires from a real place the customer service is ridiculously difficult to navigate.","Date of experience: November 26, 2022",2022.0,November,sitejabber,Illinois,1,1,2022-11-26,November,2022.0
I wish I could give negative stars!,https://www.sitejabber.com/reviews/costco.com#1456,0,2021,December,"Costco in Orange Park FL damaged my rims while installing tires on my Jeep Grand Cherokee. When I went inside to ask about the damage I was immediately yelled at by a technician saying they didn't do it and that I was absurd to think they caused any damage. Their insurance was even worse to deal with. Charity was difficult to get a hold of, never answered messages, and was rude every time we spoke. This is THE worst company I have ever dealt with and I will never do business with them or any of their subsidiaries again and I advise everyone else of the same.","Date of experience: December 19, 2021",2021.0,December,sitejabber,Florida,1,2,2021-12-19,December,2021.0
Really poor infrastructure.,https://www.sitejabber.com/reviews/costco.com#1308,0,2020,August,,"Date of experience: August 7, 2020",2020.0,August,sitejabber,New Mexico,1,4,2020-08-07,August,2020.0
Tire mechanic flawed,https://www.sitejabber.com/reviews/costco.com#2253,0,2023,August,"Ordered ko2 tires correct size for rav4, waited 2 weeks. Arrived and mechanic said ""speed rating for tire was 130mph and the car was rated for a slower speed and did not want liability to install them""? Spent my $1100 somewhere else.",,,,sitejabber,Washington,1,0,,,
Rude,https://www.sitejabber.com/reviews/costco.com#1204,0,2019,July,,"Date of experience: July 7, 2019",2019.0,July,sitejabber,Florida,1,0,2019-07-07,July,2019.0
Fake Costco return policy,https://www.sitejabber.com/reviews/costco.com#1741,0,2022,August,"I purchased a LG refrigerator from Costco.com, this was a second LG refrigerator that broke, I called customer service to return the Refrigerator. First they accepted the return to give a full refund but after a week when I followed up for return they said they will not accept the return and refund because the price of refrigerator is high. They offered to give me $300 vs original price of $2700. They said however we say 100% customer satisfaction guarantee but when the price of merchant is high then we will not accept the return for full refund. I told them in this case customer should not trust Costco but it seems like they don't care.","Date of experience: August 31, 2022",2022.0,August,sitejabber,Wisconsin,1,1,2022-08-31,August,2022.0
WOW Best white glove service in the industry and I still get Costco pricing,https://www.sitejabber.com/reviews/costco.com#916,0,2017,March,I have been a Costco member for 15 years and cant say enough about the warehouse. I recently bought furniture online and had the best white glove service. I have bought from high end such as Restoration Hardware and paid for the white glove service that still could not match Costco.,"Date of experience: March 14, 2017",2017.0,March,sitejabber,Canada,2,9,2017-03-14,March,2017.0
Costco's online pharmacy is quick and efficient,https://www.sitejabber.com/reviews/costco.com#5,0,2010,October,,"Date of experience: October 20, 2010",2010.0,October,sitejabber,Rhode Island,1,7,2010-10-20,October,2010.0
"The only thing that bugs me here is the crowds, but...",https://www.sitejabber.com/reviews/costco.com#76,0,2015,January,,"Date of experience: January 31, 2015",2015.0,January,sitejabber,GB,5,7,2015-01-31,January,2015.0
Not customer oriented,https://www.sitejabber.com/reviews/costco.com#2218,0,2023,August,"Maybe a simple round cake can help mothers who want to make their child's favorite cake, while this can't be difficult for Costco's cake making employees and it doesn't bother them that take the one of the cakes 's cream off and make a child happy, It was not expected of managers of Costco who do not care about their customers.","Date of experience: August 3, 2023",2023.0,August,sitejabber,Australia,1,0,2023-08-03,August,2023.0
Got Costco Same day delivery on schedule,https://www.sitejabber.com/reviews/costco.com#2140,0,2023,June,"I signed in an new account with Costco.com and ordered some food such as milk and egg etc. Got food within schedule. Ever since delivery people began pickup food from Costco, I have got txt. And on their way to delivery, got txt again. Few minutes ahead delivery got txt too. Then got txt while they got there. Thanks for the delivery person.","Date of experience: June 29, 2023",2023.0,June,sitejabber,New York,2,1,2023-06-29,June,2023.0
Refused entrance,https://www.sitejabber.com/reviews/costco.com#1972,0,2023,February,I was refused entrance today because I did not look old enough to qualify for senior hours. The person at the door has only her guess if I am old enough. There were several customers entering at the same as myself and several were obviously younger than myself yet I was the only one stopped. At no time was I asked how old I am nor was I asked to show proof of my age. I was only told I could not come in till 10 am. At this point I was debating if it made sense to continue spending thousands with Costco then I noticed nobody being stopped when the clock hit. 9:20. Keep in mind there is not visable signage to indicate senior hours or what age is considered senior.,"Date of experience: February 6, 2023",2023.0,February,sitejabber,New York,2,15,2023-02-06,February,2023.0
